id,tid,type,dist,name_short,name,Latitude,Longitude
380076300Y,Y,國小,八德區,霄裡國民小學,桃園市八德區霄裡國民小學,24.9364774,121.2644451
380076400Y,Y,國小,八德區,大安國民小學,桃園市八德區大安國民小學,24.9565008,121.3154606
380076500Y,Y,國小,八德區,茄苳國民小學,桃園市八德區茄苳國民小學,24.9646105,121.2781128
380076600Y,Y,國小,八德區,廣興國民小學,桃園市八德區廣興國民小學,24.94519,121.283752
380076700Y,Y,國小,八德區,大勇國民小學,桃園市八德區大勇國民小學,24.9681259,121.303552
380076800Y,Y,國小,八德區,瑞豐國民小學,桃園市八德區瑞豐國民小學,24.936596,121.2974045
380076900Y,Y,國小,八德區,大忠國民小學,桃園市八德區大忠國民小學,24.9602612,121.3009329
380070100Y,Y,國小,桃園區,桃園國民小學,桃園市桃園區桃園國民小學,24.9920337,121.3107575
380070200Y,Y,國小,桃園區,南門國民小學,桃園市桃園區南門國民小學,24.9890456,121.3055033
380070300Y,Y,國小,桃園區,東門國民小學,桃園市桃園區東門國民小學,24.9944936,121.3152904
380070400Y,Y,國小,桃園區,中埔國民小學,桃園市桃園區中埔國民小學,25.0093004,121.2870813
380070500Y,Y,國小,桃園區,成功國民小學,桃園市桃園區成功國民小學,24.9982762,121.3070924
380070600Y,Y,國小,桃園區,會稽國民小學,桃園市桃園區會稽國民小學,25.0204781,121.3088412
380070700Y,Y,國小,桃園區,建國國民小學,桃園市桃園區建國國民小學,24.9835199,121.3152425
380070800Y,Y,國小,桃園區,中山國民小學,桃園市桃園區中山國民小學,24.9862392,121.2896871
380070900Y,Y,國小,桃園區,西門國民小學,桃園市桃園區西門國民小學,24.9938041,121.3049184
380071000Y,Y,國小,桃園區,龍山國民小學,桃園市桃園區龍山國民小學,24.9809324,121.2707162
380071100Y,Y,國小,桃園區,文山國民小學,桃園市桃園區文山國民小學,24.99609,121.291919
380071200Y,Y,國小,桃園區,北門國民小學,桃園市桃園區北門國民小學,25.0067962,121.3066809
380071300Y,Y,國小,桃園區,同安國民小學,桃園市桃園區同安國民小學,25.0214069,121.2977767
380071400Y,Y,國小,桃園區,青溪國民小學,桃園市桃園區青溪國民小學,24.9996377,121.3179664
380071500Y,Y,國小,桃園區,建德國民小學,桃園市桃園區建德國民小學,24.9766879,121.3149824
380071600Y,Y,國小,桃園區,大有國民小學,桃園市桃園區大有國民小學,25.0093777,121.3207877
380071700Y,Y,國小,桃園區,慈文國民小學,桃園市桃園區慈文國民小學,25.012298,121.3037514
380071800Y,Y,國小,桃園區,大業國民小學,桃園市桃園區大業國民小學,25.0067122,121.3160189
380071900Y,Y,國小,桃園區,同德國民小學,桃園市桃園區同德國民小學,25.0148074,121.2959245
380072000Y,Y,國小,桃園區,莊敬國民小學,桃園市桃園區莊敬國民小學,25.021303,121.2926567
380072100Y,Y,國小,桃園區,快樂國民小學,桃園市桃園區快樂國民小學,25.0190232,121.3154235
380072200Y,Y,國小,桃園區,永順國民小學,桃園市桃園區永順國民小學,25.0087211,121.2970681
380072300Y,Y,國小,桃園區,新埔國民小學,桃園市桃園區新埔國民小學,25.0182479,121.306454
380072400Y,Y,國小,中壢區,中壢國民小學,桃園市中壢區中壢國民小學,24.9542964,121.2205793
380072500Y,Y,國小,中壢區,中平國民小學,桃園市中壢區中平國民小學,24.959676,121.177145
380072600Y,Y,國小,中壢區,新明國民小學,桃園市中壢區新明國民小學,24.9591672,121.2156723
380072700Y,Y,國小,中壢區,芭里國民小學,桃園市中壢區芭里國民小學,24.9949729,121.2020088
380072800Y,Y,國小,中壢區,新街國民小學,桃園市中壢區新街國民小學,24.9627006,121.2285509
380072900Y,Y,國小,中壢區,普仁國民小學,桃園市中壢區普仁國民小學,24.9485183,121.2445034
380073000Y,Y,國小,中壢區,富台國民小學,桃園市中壢區富台國民小學,24.9401396,121.2522852
380073100Y,Y,國小,中壢區,青埔國民小學,桃園市中壢區青埔國民小學,25.006935,121.213699
380073200Y,Y,國小,中壢區,內壢國民小學,桃園市中壢區內壢國民小學,24.9752371,121.2595937
380073300Y,Y,國小,中壢區,內定國民小學,桃園市中壢區內定國民小學,24.9933981,121.2501132
380073400Y,Y,國小,中壢區,大崙國民小學,桃園市中壢區大崙國民小學,24.9898447,121.1801477
